displacement,cumulative_buoyancy
24060,9676.1
24060,9806.4
24060,9936.9
24060,10067.3
24060,10197.8
24060,10328.3
24060,10458.7
24060,10589
24060,10719.2
24060,10849.3
24060,10979.3
24060,11109.2
24060,11239
24060,11368.7
24060,11498.3
24060,11627.8
24060,11757.1
24060,11886.4
24060,12015.5
24060,12144.6
24060,12273.5
24060,12402.4
24060,12531.1
24060,12659.7
24060,12788.3
24060,12916.7
24060,13045
24060,13173.2
24060,13301.3
24060,13429.3
24060,13557.2
24060,13685
24060,13812.6
24060,13940.2
24060,14067.7
24060,14195
24060,14322.3
24060,14449
24060,14575.2
24060,14700.7
24060,14825.7
24060,14950.1
24060,15073.9
24060,15197.1
24060,15319.8
24060,15441.8
24060,15563.3
24060,15684.1
24060,15804.4
24060,15924.1
24060,16043.2
24060,16161.8
24060,16279.7
24060,16397.1
24060,16513.8
24060,16630
24060,16745.6
24060,16860.6
24060,16975
24060,17088.8
24060,17202.1
24060,17314.7
24060,17426.8
24060,17538.3
24060,17649.1
24060,17759.4
24060,17869.2
24060,17978.3
24060,18086.5
24060,18193.7
24060,18299.9
24060,18405.2
24060,18509.6
24060,18612.9
24060,18715.3
24060,18816.7
24060,18917.2
24060,19016.6
24060,19115.2
24060,19212.7
24060,19309.3
24060,19404.9
24060,19499.5
24060,19593.2
24060,19685.9
24060,19777.6
24060,19868.4
24060,19958.1
24060,20047
24060,20134.8
24060,20221.7
24060,20307.6
24060,20392.6
24060,20476.6
24060,20559.6
24060,20641.6
24060,20722.7
24060,20802.8
24060,20881.9
24060,20960
24060,21037
24060,21113.1
24060,21188
24060,21261.9
24060,21334.8
24060,21406.7
24060,21477.4
24060,21547.2
